run,step,query_idx,query_text,kb_size_bytes,file_count,model,vector_store_id,elapsed_ms,input_tokens,output_tokens,provider_server_latency_ms,throughput_output_tokens_per_sec,has_citation
1,1,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",10569,1,gpt-4o-mini,vs_69d61b1633548191b6f5fe770f06d90d,42970.557,9331,560,42844,13.071,True
1,1,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",10569,1,gpt-4o-mini,vs_69d61b1633548191b6f5fe770f06d90d,35359.154,9151,552,35273,15.649,False
1,1,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",10569,1,gpt-4o-mini,vs_69d61b1633548191b6f5fe770f06d90d,19608.501,9058,425,19510,21.784,True
1,1,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,10569,1,gpt-4o-mini,vs_69d61b1633548191b6f5fe770f06d90d,19899.857,9137,637,19813,32.151,True
1,1,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",10569,1,gpt-4o-mini,vs_69d61b1633548191b6f5fe770f06d90d,8162.593,9057,399,8111,49.192,True
1,1,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,10569,1,gpt-4o-mini,vs_69d61b1633548191b6f5fe770f06d90d,25699.878,9105,365,25648,14.231,False
1,2,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",21048,1,gpt-4o-mini,vs_69d61bb7b40c8191a46e990fe9cd8339,101662.658,17822,757,101613,7.45,False
1,2,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",21048,1,gpt-4o-mini,vs_69d61bb7b40c8191a46e990fe9cd8339,46636.859,17497,782,46565,16.794,True
1,2,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",21048,1,gpt-4o-mini,vs_69d61bb7b40c8191a46e990fe9cd8339,24127.38,17319,526,24071,21.852,False
1,2,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,21048,1,gpt-4o-mini,vs_69d61bb7b40c8191a46e990fe9cd8339,47066.528,17512,844,46874,18.006,False
