run,step,query_idx,query_text,kb_size_bytes,file_count,model,vector_store_id,elapsed_ms,input_tokens,output_tokens,provider_server_latency_ms,throughput_output_tokens_per_sec,has_citation
1,1,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",10569,1,gpt-4o-mini,vs_69d5e70f6ee4819180705fffe2477d2e,79106.24,10145,1196,78557,15.225,True
1,1,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",10569,1,gpt-4o-mini,vs_69d5e70f6ee4819180705fffe2477d2e,25498.631,9349,647,25407,25.465,False
1,1,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",10569,1,gpt-4o-mini,vs_69d5e70f6ee4819180705fffe2477d2e,7211.712,9096,345,7122,48.441,True
1,1,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,10569,1,gpt-4o-mini,vs_69d5e70f6ee4819180705fffe2477d2e,26741.098,9366,870,26682,32.606,True
1,1,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",10569,1,gpt-4o-mini,vs_69d5e70f6ee4819180705fffe2477d2e,9130.232,891,369,9074,40.666,False
1,1,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,10569,1,gpt-4o-mini,vs_69d5e70f6ee4819180705fffe2477d2e,17701.638,9144,367,17632,20.814,False
1,2,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",21048,1,gpt-4o-mini,vs_69d5e7be71a48191adac504a8f2248c3,45650.693,17594,480,45360,10.582,True
1,2,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",21048,1,gpt-4o-mini,vs_69d5e7be71a48191adac504a8f2248c3,32622.487,17579,723,32569,22.199,True
1,2,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",21048,1,gpt-4o-mini,vs_69d5e7be71a48191adac504a8f2248c3,22780.228,17344,404,22698,17.799,True
1,2,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,21048,1,gpt-4o-mini,vs_69d5e7be71a48191adac504a8f2248c3,53674.011,17539,797,53590,14.872,False
1,2,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",21048,1,gpt-4o-mini,vs_69d5e7be71a48191adac504a8f2248c3,13561.52,17340,407,13461,30.235,False
1,2,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,21048,1,gpt-4o-mini,vs_69d5e7be71a48191adac504a8f2248c3,21029.789,17379,405,20946,19.335,False
1,3,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",31242,1,gpt-4o-mini,vs_69d5e88493d48191851dc44b8ac2c009,27336.767,17556,514,27243,18.867,True
1,3,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",31242,1,gpt-4o-mini,vs_69d5e88493d48191851dc44b8ac2c009,35879.287,17436,543,35826,15.157,False
1,3,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",31242,1,gpt-4o-mini,vs_69d5e88493d48191851dc44b8ac2c009,30261.794,17344,492,30146,16.321,True
1,3,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,31242,1,gpt-4o-mini,vs_69d5e88493d48191851dc44b8ac2c009,35241.762,17516,716,35160,20.364,False
1,3,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",31242,1,gpt-4o-mini,vs_69d5e88493d48191851dc44b8ac2c009,11888.314,17342,414,11830,34.996,True
1,3,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,31242,1,gpt-4o-mini,vs_69d5e88493d48191851dc44b8ac2c009,28217.177,17365,428,28164,15.197,False
1,4,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",41717,1,gpt-4o-mini,vs_69d5e93860b081919197ca86e78d1de1,27184.89,17564,627,27128,23.113,False
1,4,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",41717,1,gpt-4o-mini,vs_69d5e93860b081919197ca86e78d1de1,28206.81,17447,553,28152,19.643,True
1,4,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",41717,1,gpt-4o-mini,vs_69d5e93860b081919197ca86e78d1de1,24580.455,17290,523,24505,21.343,False
1,4,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,41717,1,gpt-4o-mini,vs_69d5e93860b081919197ca86e78d1de1,43947.762,17600,906,43893,20.641,True
1,4,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",41717,1,gpt-4o-mini,vs_69d5e93860b081919197ca86e78d1de1,28535.487,17320,391,28406,13.765,True
1,4,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,41717,1,gpt-4o-mini,vs_69d5e93860b081919197ca86e78d1de1,20382.737,17305,365,20295,17.985,True
1,5,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",51989,1,gpt-4o-mini,vs_69d5e9f18780819183edc2be042f5a8d,91808.973,18379,869,91749,9.471,False
1,5,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",51989,1,gpt-4o-mini,vs_69d5e9f18780819183edc2be042f5a8d,49161.725,17474,851,49101,17.332,True
1,5,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",51989,1,gpt-4o-mini,vs_69d5e9f18780819183edc2be042f5a8d,10819.443,17268,435,10753,40.454,True
1,5,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,51989,1,gpt-4o-mini,vs_69d5e9f18780819183edc2be042f5a8d,18792.001,17385,755,18731,40.308,True
1,5,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",51989,1,gpt-4o-mini,vs_69d5e9f18780819183edc2be042f5a8d,16306.484,17287,451,16247,27.759,True
1,5,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,51989,1,gpt-4o-mini,vs_69d5e9f18780819183edc2be042f5a8d,32155.653,17349,470,32065,14.658,False
1,6,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",62334,1,gpt-4o-mini,vs_69d5eb164ee0819195f52f4acfafe14f,60596.243,17600,687,60537,11.348,True
1,6,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",62334,1,gpt-4o-mini,vs_69d5eb164ee0819195f52f4acfafe14f,39020.397,17387,711,38958,18.25,True
1,6,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",62334,1,gpt-4o-mini,vs_69d5eb164ee0819195f52f4acfafe14f,24566.127,17341,527,24503,21.508,True
1,6,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,62334,1,gpt-4o-mini,vs_69d5eb164ee0819195f52f4acfafe14f,60908.907,17510,732,60852,12.029,False
1,6,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",62334,1,gpt-4o-mini,vs_69d5eb164ee0819195f52f4acfafe14f,29478.077,17288,381,29418,12.951,True
1,6,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,62334,1,gpt-4o-mini,vs_69d5eb164ee0819195f52f4acfafe14f,78512.705,17301,414,77685,5.329,False
1,7,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",72725,1,gpt-4o-mini,vs_69d5ec47e3c4819192259b0b53f971d1,155116.522,18363,871,154873,5.624,False
1,7,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",72725,1,gpt-4o-mini,vs_69d5ec47e3c4819192259b0b53f971d1,19578.225,17345,582,19477,29.881,False
1,7,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",72725,1,gpt-4o-mini,vs_69d5ec47e3c4819192259b0b53f971d1,13004.881,17283,516,12951,39.842,True
1,7,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,72725,1,gpt-4o-mini,vs_69d5ec47e3c4819192259b0b53f971d1,25332.136,17460,779,25245,30.858,False
1,7,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",72725,1,gpt-4o-mini,vs_69d5ec47e3c4819192259b0b53f971d1,33819.047,17246,387,33761,11.463,True
1,7,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,72725,1,gpt-4o-mini,vs_69d5ec47e3c4819192259b0b53f971d1,26320.745,17385,368,26253,14.017,False
1,8,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",83099,1,gpt-4o-mini,vs_69d5ed6304888191aeee0bd677de9a1d,98962.428,17918,914,98860,9.245,True
1,8,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",83099,1,gpt-4o-mini,vs_69d5ed6304888191aeee0bd677de9a1d,13411.611,17382,598,13350,44.794,True
1,8,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",83099,1,gpt-4o-mini,vs_69d5ed6304888191aeee0bd677de9a1d,17546.897,17315,473,17494,27.038,True
1,8,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,83099,1,gpt-4o-mini,vs_69d5ed6304888191aeee0bd677de9a1d,70771.334,17626,1011,70665,14.307,False
1,8,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",83099,1,gpt-4o-mini,vs_69d5ed6304888191aeee0bd677de9a1d,30036.627,17287,442,29952,14.757,True
