run,step,query_idx,query_text,kb_size_bytes,file_count,model,vector_store_id,elapsed_ms,input_tokens,output_tokens,provider_server_latency_ms,throughput_output_tokens_per_sec,has_citation
1,1,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",10569,1,gpt-4o-mini,vs_69d63541ea208191b3bd206bd1077338,68102.96,9436,665,67972,9.783,True
1,1,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",10569,1,gpt-4o-mini,vs_69d63541ea208191b3bd206bd1077338,39026.486,9198,649,38976,16.651,True
1,1,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",10569,1,gpt-4o-mini,vs_69d63541ea208191b3bd206bd1077338,32621.108,9143,534,32532,16.415,True
1,1,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,10569,1,gpt-4o-mini,vs_69d63541ea208191b3bd206bd1077338,37656.516,9211,790,37585,21.019,True
1,1,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",10569,1,gpt-4o-mini,vs_69d63541ea208191b3bd206bd1077338,23532.154,9085,430,23472,18.32,True
1,1,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,10569,1,gpt-4o-mini,vs_69d63541ea208191b3bd206bd1077338,14532.43,9074,368,14482,25.411,True
1,2,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",21048,1,gpt-4o-mini,vs_69d636220dec819196dda881c413d9a3,126237.126,18434,875,126152,6.936,False
1,2,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",21048,1,gpt-4o-mini,vs_69d636220dec819196dda881c413d9a3,39799.278,17562,579,39718,14.578,True
1,2,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",21048,1,gpt-4o-mini,vs_69d636220dec819196dda881c413d9a3,30794.603,17408,405,30739,13.175,True
1,2,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,21048,1,gpt-4o-mini,vs_69d636220dec819196dda881c413d9a3,77792.326,17631,876,77746,11.267,True
1,2,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",21048,1,gpt-4o-mini,vs_69d636220dec819196dda881c413d9a3,21279.909,17348,382,21220,18.002,False
1,2,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,21048,1,gpt-4o-mini,vs_69d636220dec819196dda881c413d9a3,25468.284,17385,400,25407,15.744,False
1,3,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",31242,1,gpt-4o-mini,vs_69d6376c4cf081919036b9771a3d92ec,59591.615,17868,797,59521,13.39,False
1,3,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",31242,1,gpt-4o-mini,vs_69d6376c4cf081919036b9771a3d92ec,45396.926,17531,675,45295,14.902,True
1,3,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",31242,1,gpt-4o-mini,vs_69d6376c4cf081919036b9771a3d92ec,20511.068,17336,463,20458,22.632,True
1,3,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,31242,1,gpt-4o-mini,vs_69d6376c4cf081919036b9771a3d92ec,19209.947,17443,777,19157,40.56,True
1,3,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",31242,1,gpt-4o-mini,vs_69d6376c4cf081919036b9771a3d92ec,19236.408,17318,370,19181,19.29,False
1,3,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,31242,1,gpt-4o-mini,vs_69d6376c4cf081919036b9771a3d92ec,25902.164,17492,506,25838,19.584,False
1,4,1,"For Inconel 718, summarize likely effects of solution treatment temperature on yield strength and what assumptions should be tracked.",41717,1,gpt-4o-mini,vs_69d63834cd1c81919789f36d637ea505,153441.173,18449,934,153397,6.089,False
1,4,2,"For Ti-6Al-4V, explain how cooling rate after heat treatment can shift the strength-ductility balance and what data gaps matter most.",41717,1,gpt-4o-mini,vs_69d63834cd1c81919789f36d637ea505,19324.014,17309,512,19256,26.589,True
1,4,3,"For porous Al2O3 ceramic, describe why thermal conductivity trends with porosity and list boundary-condition assumptions a simulation should report.",41717,1,gpt-4o-mini,vs_69d63834cd1c81919789f36d637ea505,22487.075,17287,378,22429,16.853,False
1,4,4,Compare Inconel 718 and CoCrFeMnNi for high-temperature service: what properties are most relevant and what uncertainties should be documented.,41717,1,gpt-4o-mini,vs_69d63834cd1c81919789f36d637ea505,12002.308,17300,678,11942,56.774,False
1,4,5,"Given a materials simulation matrix, what minimum checks should be used to validate physical plausibility versus operational usefulness.",41717,1,gpt-4o-mini,vs_69d63834cd1c81919789f36d637ea505,19299.232,17296,326,19215,16.966,True
1,4,6,How should uncertainty be communicated when model predictions rely on extrapolated property data outside measured temperature ranges.,41717,1,gpt-4o-mini,vs_69d63834cd1c81919789f36d637ea505,21470.505,17363,337,21409,15.741,False
